,30HAJ17CT003,30HAJ17CT001,30HAJ17CT002,30HAJ17CT012,30HAJ17CT010,30HAJ17CT011,30HAJ17CT006,30HAJ17CT004,30HAJ17CT005,30HAJ17CT015,30HAJ17CT013,30HAJ17CT014,30HAJ17CT007,30HAJ17CT008,30HAJ17CT009,30HAJ17CT016,30HAJ17CT017,30HAJ17CT018
Tue Apr 12 22:17:18  2016,34.1699,732.1167,724.4137,698.0716,696.4739,708.6872,759.9059,717.3632,688.1812,695.7925,661.5848,661.7292,638.2733,694.3303,656.5687,621.7526,642.0809,630.8602
Tue Apr 12 22:31:58  2016,39.2909,724.8519,716.8246,699.8151,689.6529,705.3401,749.6087,711.2418,683.6881,698.5521,660.8632,666.2057,637.2662,690.7025,658.7327,624.6254,649.8141,638.5825
Tue Apr 12 22:47:58  2016,23.8382,729.2363,721.3474,691.9739,678.6412,693.1348,758.1388,716.6788,686.7314,691.8734,660.1415,656.3904,640.0444,696.4076,661.8077,621.4653,647.0767,636.7122
Tue Apr 12 23:01:58  2016,39.94,730.26,726.7513,696.1835,689.9429,703.8856,759.3167,719.8879,694.7099,693.8605,663.0285,664.7614,643.3552,699.8941,664.9843,625.2996,653.2734,642.1806
Tue Apr 12 23:16:58  2016,34.969,729.3826,728.0667,714.368,707.6683,743.3179,744.7633,716.6788,693.5486,707.6683,675.0236,686.608,638.3176,691.9078,664.9843,636.0814,663.5173,650.1023
Tue Apr 12 23:31:38  2016,23.8382,709.1023,703.1368,699.9604,689.9429,718.3047,733.6251,698.9216,674.5681,694.1508,661.0075,669.9626,627.2456,679.878,649.6929,622.2829,647.941,635.7052
Tue Apr 12 23:47:38  2016,23.8382,716.6788,725.8746,706.504,701.5591,733.0615,752.2541,710.9953,684.4125,701.2684,671.6973,679.5098,636.5911,690.0218,660.3643,632.0546,656.0132,644.7722
Wed Apr 13 00:01:38  2016,39.4416,708.4752,716.9705,720.5382,710.1879,738.6713,742.9576,704.8373,689.0066,719.225,676.8042,689.9875,635.6838,690.2673,663.929,638.5714,665.8724,651.1555
Wed Apr 13 00:16:38  2016,23.3412,746.4795,764.1343,701.8946,690.5677,702.3307,727.8756,726.4141,691.6176,679.1199,659.4644,665.5279,640.4319,676.3598,655.9918,622.7579,651.0113,638.9146
Wed Apr 13 00:31:39  2016,23.3412,713.4271,715.0303,712.0814,711.2074,744.39,749.1228,706.2922,683.6436,716.5995,672.8985,687.2324,634.1017,687.512,659.0212,635.694,656.923,646.5448
Wed Apr 13 00:31:58  2016,23.3412,715.4676,718.2382,713.8298,710.0423,744.8303,748.829,707.4563,685.3824,719.6627,673.477,686.6525,635.1085,687.947,659.7427,635.8379,658.3656,647.265
Wed Apr 13 00:47:58  2016,23.3412,747.2136,747.0668,719.3708,713.5383,752.3211,768.1172,730.9464,702.3651,714.9958,678.2515,686.7975,650.8015,705.0836,670.7195,638.1397,666.5947,651.732
Wed Apr 13 01:01:18  2016,23.3412,740.4647,740.3632,711.6443,710.9161,738.9644,772.3998,723.4924,698.0053,701.6039,672.7539,679.699,645.903,703.9199,664.5067,633.3929,655.7691,643.3766
Wed Apr 13 01:16:18  2016,23.3412,731.4302,731.7228,713.3926,714.7043,738.0851,769.9342,717.0715,695.7263,704.9484,674.0555,680.7126,643.7871,703.8192,663.3958,633.5367,651.2552,637.8631
Wed Apr 13 01:31:18  2016,23.8382,738.0183,737.5788,709.8519,705.9221,735.8429,777.9163,723.5374,700.2294,704.031,673.5771,675.1682,646.9555,706.8742,666.7176,633.924,655.5805,643.9083
Wed Apr 13 01:46:58  2016,39.94,745.4971,742.1678,717.138,706.6495,725.4579,784.2842,727.9205,704.882,710.2888,675.4575,676.6151,650.2693,709.2031,669.6075,634.4992,659.3312,646.5005
Wed Apr 13 02:00:59  2016,23.8382,736.452,734.6948,718.4507,713.9307,743.6113,771.752,721.9313,699.2569,714.2222,675.4575,683.5648,645.9472,705.4192,666.4287,634.9307,659.7198,647.4645
Wed Apr 13 02:17:19  2016,23.8382,747.3039,745.8358,718.6976,707.0861,721.515,782.8479,729.3826,706.3817,715.8257,671.6528,674.5451,650.3136,707.5011,668.9294,633.3487,663.7617,646.4562
Wed Apr 13 02:31:59  2016,24.3351,735.7197,734.6948,721.9081,714.5137,748.4554,767.0274,723.2902,698.2399,717.4296,676.4258,685.1141,643.2555,701.5375,663.8734,636.5129,660.8744,646.6003
Wed Apr 13 02:32:39  2016,24.3351,737.9169,739.0891,722.3461,715.8257,747.1337,770.4226,724.6046,700.2741,718.1589,677.1494,686.1286,643.7871,701.2468,664.7399,636.9445,661.1631,647.1765
Wed Apr 13 02:48:38  2016,40.4384,745.3954,744.9551,718.5517,714.3231,737.2626,764.0775,730.4512,703.6178,717.138,677.0046,686.1286,648.4404,700.2294,667.6289,637.2322,662.751,649.9139
Wed Apr 13 03:02:18  2016,24.3351,747.8912,743.4879,718.6976,706.6049,727.4588,777.074,731.3289,706.0906,716.1172,673.8219,677.1494,650.0254,705.6094,667.9178,633.7801,663.0397,647.8967
Wed Apr 13 03:17:19  2016,39.94,748.185,742.4611,723.8512,709.124,735.2572,778.8497,730.5525,704.6359,717.138,677.628,683.4199,649.2606,706.7287,669.0295,636.369,664.5281,647.941
Wed Apr 13 03:32:19  2016,39.94,745.3503,743.5895,722.3909,720.6393,749.4837,768.0151,731.1376,704.4457,720.9312,679.365,690.9584,649.1165,703.0921,669.7521,638.671,667.1281,650.6788
Wed Apr 13 03:48:19  2016,39.94,750.6373,747.5524,725.7501,714.951,743.0245,777.0286,735.2355,705.6094,727.9872,675.4575,684.579,651.8547,712.1158,672.3543,636.8448,666.5947,649.5702
Wed Apr 13 04:01:59  2016,36.7761,741.8294,737.8718,721.7059,719.9545,740.7233,775.6974,727.3359,699.7935,721.122,677.2383,683.6093,647.3434,709.8864,667.5845,635.9818,662.2623,645.6806
Wed Apr 13 04:16:59  2016,23.8382,746.3778,743.5895,715.4332,704.5121,727.9872,780.5806,730.6988,703.2822,709.3143,673.1877,676.9489,648.8283,707.3108,666.5732,632.3864,660.3858,644.9605
Wed Apr 13 04:31:59  2016,39.94,757.4027,756.0781,721.9979,714.267,734.4238,784.136,737.8718,707.7922,714.85,677.3831,687.3774,654.7382,713.4271,671.3422,638.1397,663.7061,648.9938
Wed Apr 13 04:47:59  2016,23.3412,753.2833,747.4056,719.8086,700.5864,714.9958,786.8047,734.7512,706.1914,714.4128,671.1635,672.0309,652.387,713.528,669.8522,631.5237,662.1179,645.6806
Wed Apr 13 05:01:39  2016,23.3412,752.2089,751.666,718.0579,707.8586,729.1568,775.9477,735.1904,707.1653,716.1621,672.6093,677.2383,653.9728,711.7797,670.2858,633.6805,663.1285,646.9769
Wed Apr 13 05:16:39  2016,39.4416,757.1083,755.0483,726.6718,718.6414,745.7108,782.2098,739.7318,709.3935,722.4358,678.541,687.0875,657.0014,713.8195,673.7559,639.8665,668.1839,651.732
Wed Apr 13 05:31:39  2016,39.4416,750.6373,750.3434,713.3926,715.2874,738.8178,783.8396,734.8976,707.7922,706.4033,679.1199,686.6525,654.9822,716.1517,673.7559,638.5714,661.8292,650.1466
Wed Apr 13 05:47:39  2016,40.6472,754.754,753.5775,718.7873,716.4537,734.4238,777.6203,736.9478,707.5011,721.5599,673.9108,681.7263,657.2899,713.9652,672.8882,638.4274,663.9949,648.9938
Wed Apr 13 06:01:40  2016,39.94,759.9059,759.6113,717.037,709.6055,725.3568,786.3599,743.4428,711.7236,717.037,672.8985,674.9234,661.519,720.7186,676.8384,636.4133,664.5725,648.8497
Wed Apr 13 06:17:40  2016,39.94,742.856,739.4837,723.75,711.6443,732.3748,770.0818,729.675,697.4689,718.3497,672.1755,678.6857,650.2693,707.0198,666.2842,635.2626,662.8397,644.0965
Wed Apr 13 06:32:39  2016,23.8382,753.4303,751.96,710.0423,704.9484,730.1805,779.9884,736.2605,707.21,703.2032,672.8985,675.936,654.0172,708.7664,668.4514,633.8243,656.7787,644.5285
Wed Apr 13 06:48:39  2016,39.7893,747.6993,747.7444,724.3342,717.6204,738.6713,779.8859,733.6251,704.345,719.079,679.4095,686.9424,651.2781,709.6399,671.7759,639.1469,663.1285,648.5616
Wed Apr 13 07:02:20  2016,40.2877,747.8912,742.7544,713.1012,706.1123,732.6674,769.0937,732.4993,700.2741,706.4033,675.502,679.5543,651.0342,707.6467,667.7734,635.5502,660.3858,646.4008
Wed Apr 13 07:17:20  2016,40.4384,763.6352,760.6877,714.5585,708.4408,735.4486,786.1089,743.928,713.5167,709.4599,677.2383,683.3196,659.8315,715.5125,674.2788,636.1255,664.1393,652.1644
Wed Apr 13 07:32:20  2016,40.4384,749.36,746.4229,718.7873,712.8098,728.8644,785.6641,735.7197,708.1281,716.3079,672.0309,676.8042,654.9267,713.3262,670.8083,635.2626,664.8613,647.265
Wed Apr 13 07:48:20  2016,24.3351,749.9478,747.4507,725.9412,722.4358,747.6194,773.2296,734.9876,705.0723,722.8738,681.2918,692.1636,652.7639,712.015,672.8326,641.5936,670.2072,655.4807
Wed Apr 13 08:02:00  2016,24.3351,743.4879,763.1929,751.1,740.8248,761.1063,771.0134,737.1844,712.6425,736.0344,712.0366,719.9096,653.7731,708.6655,685.1371,661.1962,689.9988,682.3168
Wed Apr 13 08:16:59  2016,24.3351,722.313,739.1341,753.3052,732.1835,770.6946,803.9919,726.3578,706.4264,753.0111,731.7445,731.0131,647.9084,712.6425,690.6913,670.5408,695.9489,693.9164
Wed Apr 13 08:32:00  2016,24.8321,754.9916,765.4954,794.6501,728.4821,774.1954,837.6756,756.1686,729.4724,791.9758,738.8742,728.0435,663.9178,743.928,711.914,670.3517,722.9414,714.1887
Wed Apr 13 08:48:00  2016,25.3292,757.6857,788.8703,764.0655,759.3501,820.3616,874.4655,771.8428,751.8017,772.0355,786.9866,774.8436,676.8271,778.8952,732.2516,706.8064,716.869,722.8516
Wed Apr 13 09:01:40  2016,25.8263,771.1497,811.0938,810.7029,736.0572,798.4824,882.1207,785.8008,780.1705,813.0922,778.1547,734.593,697.6028,793.6219,745.926,695.815,746.9194,742.0771
Wed Apr 13 09:16:40  2016,42.4326,759.1014,815.7708,789.3721,763.1924,825.3163,882.7769,778.5876,779.7717,797.8415,794.2731,770.4222,699.5362,792.4791,756.2592,711.7679,740.2725,752.6042
Wed Apr 13 09:31:00  2016,41.934,788.7675,843.9407,818.5892,761.8774,824.2788,910.2621,812.139,793.6677,819.1876,813.2072,782.5626,713.3148,829.7586,782.9391,732.5103,762.9205,781.8334
Wed Apr 13 09:47:00  2016,41.4354,780.7173,832.4611,807.7416,764.7351,818.1979,853.7025,798.6774,799.5702,819.0956,807.4434,768.2759,714.4359,795.3597,772.684,718.2491,752.5253,766.5165
Wed Apr 13 10:01:00  2016,24.3351,783.0416,841.2874,828.0386,794.2962,850.1589,863.7946,795.1653,808.7632,831.6407,825.1896,791.7706,718.5749,800.3259,774.8556,735.7419,761.9456,768.1397
Wed Apr 13 10:17:00  2016,26.74,799.0323,843.0483,822.9881,773.8887,832.7381,868.1454,811.2546,804.0951,818.1979,814.3106,771.8199,719.1135,795.8173,771.1157,727.5941,759.4865,765.2343
Wed Apr 13 10:32:00  2016,47.2239,758.1841,803.4991,825.0859,769.8998,801.9291,880.1526,769.8319,779.5898,823.0342,778.4737,772.1154,703.5731,804.1983,764.6219,708.9675,756.5873,768.3781
Wed Apr 13 10:48:01  2016,40.4384,779.5898,839.2842,877.6821,779.4072,813.7589,875.4361,794.2736,833.27,863.6077,790.8225,788.2993,733.6251,811.5073,791.5539,721.987,802.9717,803.5675
Wed Apr 13 11:02:00  2016,24.3351,775.8907,832.5651,850.1936,777.6768,812.1617,898.1642,782.5516,828.0158,847.7791,801.7686,769.1501,727.3359,821.3757,790.6629,726.5598,780.2955,790.2286
Wed Apr 13 11:17:01  2016,40.4384,758.9656,775.4925,848.1273,779.8398,786.2111,843.848,755.9763,744.8535,820.926,762.2628,748.2862,677.317,781.321,756.5197,698.7758,748.3879,745.5983
Wed Apr 13 11:31:40  2016,24.8321,737.8154,767.3679,797.6928,686.6305,711.7679,786.451,745.147,741.4796,791.4506,698.5299,683.5873,673.8893,733.8165,726.5039,646.6115,728.7972,715.2203
Wed Apr 13 11:47:40  2016,40.9369,723.9193,752.0505,771.7515,670.1296,683.4424,762.9434,731.959,702.063,748.8171,660.5969,655.6917,650.2138,707.6914,688.5157,620.626,697.9042,671.097
Wed Apr 13 12:01:41  2016,643.2,724.3574,731.6664,686.9204,678.2294,683.4424,713.7072,707.445,665.4063,673.4995,642.4354,650.5015,635.2411,670.7083,656.5575,612.4438,644.5508,632.8954
Wed Apr 13 12:16:40  2016,24.8321,691.3607,690.7804,701.1903,700.8997,709.9193,724.1102,688.5602,663.5734,701.8165,655.1591,671.475,624.4603,665.7953,650.502,630.2964,653.3845,642.7234
Wed Apr 13 12:31:21  2016,25.3292,710.8383,702.2531,734.4915,706.6161,733.906,729.3712,703.8526,676.8716,729.9557,667.1838,687.5895,633.2719,683.9221,660.6418,639.6453,674.5119,656.7456
Wed Apr 13 12:47:21  2016,25.3292,694.118,687.0546,724.1097,690.3448,699.927,720.943,685.5605,660.4418,719.921,650.5901,665.017,623.068,671.4755,643.9199,624.4487,660.497,640.4645
Wed Apr 13 13:01:20  2016,41.6325,679.2319,683.2868,741.2761,740.543,764.9503,721.5269,681.259,672.2874,737.1725,678.3629,708.8441,624.1177,675.1354,659.3873,652.7966,679.5767,663.6729
Wed Apr 13 13:16:21  2016,43.1401,678.4079,683.621,732.9265,693.4364,700.553,723.0317,678.7977,658.7546,714.2336,666.6503,684.0107,617.9866,672.1428,652.9412,628.6157,663.8173,653.5729
Wed Apr 13 13:31:01  2016,26.3235,734.7285,733.9965,737.612,731.0245,775.1393,773.5591,738.3901,700.3075,743.8145,732.9265,742.8892,653.3737,722.4028,705.2064,676.3369,696.4406,698.1835
Wed Apr 13 13:47:01  2016,26.8207,732.7242,735.7984,770.263,761.8544,791.736,796.1371,741.8066,703.1143,774.5934,744.0629,764.213,653.5623,739.5624,713.9874,689.5637,716.8129,713.1687
Wed Apr 13 14:01:01  2016,44.1375,747.5296,767.5948,734.5815,776.6638,813.2299,819.1533,758.2631,721.3695,724.7838,744.8416,767.2084,665.2951,753.7017,726.4363,690.4339,685.1253,696.1501
Wed Apr 13 14:17:01  2016,40.1136,764.4969,787.569,754.7307,723.0761,771.5355,849.6596,744.3453,727.6504,748.1165,723.6602,703.2592,666.4507,784.7058,746.6486,661.6849,717.2952,716.566
Wed Apr 13 14:32:01  2016,27.318,768.4803,807.2483,783.5652,726.4807,762.2852,830.5897,765.2343,750.9988,795.5877,744.3449,733.2078,689.4637,761.9456,741.8066,687.1878,735.46,747.7776
Wed Apr 13 14:48:01  2016,27.8153,779.3162,813.3682,819.9009,752.2759,802.7305,877.4363,775.9132,778.1322,820.0967,772.1718,752.129,704.0314,789.6463,768.7755,703.9303,765.1885,778.6327
Wed Apr 13 14:48:21  2016,27.8153,778.8722,815.0118,820.9488,749.043,800.7947,874.243,771.6268,778.2802,823.3909,778.5302,752.2759,701.9957,789.7948,769.2184,708.1497,766.3685,779.6688
Wed Apr 13 15:02:21  2016,27.8153,749.5293,781.241,796.9717,756.2924,801.2871,844.7288,738.2321,740.5771,798.0129,763.3622,748.7943,675.7474,773.2066,758.014,701.0225,748.4554,759.9278
Wed Apr 13 15:17:21  2016,43.9287,750.117,787.3179,828.5344,758.104,790.7764,825.4894,754.0862,758.7954,825.0854,757.2207,762.0811,683.5652,762.7278,745.3726,691.3377,752.8641,751.9819
Wed Apr 13 15:32:21  2016,27.8153,752.3217,790.8796,809.2789,738.1752,782.5166,808.2924,760.4155,761.5941,780.4431,752.7056,743.7466,688.6382,754.6293,736.4292,687.0316,738.6713,741.4564
Wed Apr 13 15:48:02  2016,27.8153,768.5711,798.5054,827.8304,760.9475,793.7926,849.1487,765.7222,759.577,822.7802,763.0107,764.3375,676.4708,759.4865,738.6266,688.381,741.2082,747.6646
Wed Apr 13 16:02:01  2016,27.8153,753.8373,794.6391,824.3821,759.9163,794.8329,841.6115,760.4155,766.8001,817.8407,761.8316,769.0588,686.3185,766.4144,747.7216,695.636,745.4624,758.104
