,30HAJ17CT003,30HAJ17CT001,30HAJ17CT002,30HAJ17CT012,30HAJ17CT010,30HAJ17CT011,30HAJ17CT006,30HAJ17CT004,30HAJ17CT005,30HAJ17CT015,30HAJ17CT013,30HAJ17CT014,30HAJ17CT007,30HAJ17CT008,30HAJ17CT009,30HAJ17CT016,30HAJ17CT017,30HAJ17CT018
Fri Apr 08 19:32:32  2016,806.9269,723.7278,743.7808,786.6213,709.0679,737.9837,761.1292,714.6821,714.9736,765.472,701.7939,702.9571,643.111,712.4515,702.1185,639.9108,705.2394,696.5186
Fri Apr 08 19:48:12  2016,736.6993,725.0424,739.5283,770.8308,703.8295,719.2698,706.8177,719.5956,703.0356,738.0287,691.6725,698.2056,641.6272,681.3256,683.9329,632.4748,701.4585,682.7402
Fri Apr 08 20:02:12  2016,752.7399,689.5304,708.4186,745.5075,684.5677,700.2397,727.6726,688.2252,678.9531,720.628,674.723,685.872,624.703,681.6597,672.6874,623.4208,682.1608,667.1169
Fri Apr 08 20:17:12  2016,30.3027,705.5082,711.9135,743.7466,688.7715,702.2748,718.6192,703.718,686.3406,723.4466,675.591,687.7565,629.8322,681.1807,676.6932,626.0509,683.3641,670.0515
Fri Apr 08 20:32:12  2016,976.3699,725.3345,733.6696,747.9017,690.5565,706.392,713.7628,717.6992,705.027,725.4915,677.3718,693.4584,637.4539,677.1274,671.4863,626.3383,686.4072,668.8953
Fri Apr 08 20:48:12  2016,742.4155,711.2861,725.4357,763.9405,680.5565,696.362,714.783,708.3739,700.9556,749.4156,671.4413,680.9909,631.9885,677.1274,670.908,619.3443,694.7203,673.8552
Fri Apr 08 21:02:12  2016,731.2834,701.6824,717.1606,757.1641,691.572,704.2098,704.5906,703.4271,687.7457,736.361,679.543,690.4114,628.5386,670.3298,668.3065,626.2388,688.4814,671.1078
Fri Apr 08 21:16:32  2016,758.4328,701.291,720.2242,755.1039,694.91,705.9554,730.552,703.4271,694.8546,728.4594,681.2805,693.7487,631.701,683.9329,673.5107,628.3943,689.7866,672.1199
Fri Apr 08 21:31:32  2016,747.9924,710.457,724.8962,759.1233,701.4919,711.0952,725.5818,707.6461,693.1127,742.0766,687.1207,695.0999,631.9885,684.3676,678.1404,630.8379,690.6569,675.7357
Fri Apr 08 21:47:32  2016,747.2582,704.4452,717.9908,764.1332,691.4715,711.2408,727.7739,706.9185,693.1127,749.6077,686.251,694.5191,632.8513,682.7739,677.9957,632.6074,692.5876,677.5165
Fri Apr 08 22:01:32  2016,229.4453,707.9373,727.4815,765.2108,698.049,713.4709,728.0662,704.2551,696.3066,744.4688,690.6457,698.9207,633.3823,684.1781,675.202,633.9016,697.2334,675.9248
Fri Apr 08 22:01:52  2016,750.4447,709.5386,728.0662,765.3583,695.58,711.5769,729.382,704.9824,696.7422,745.0558,689.0502,697.0322,633.526,684.9026,675.4913,632.7512,697.5239,676.0695
Fri Apr 08 22:16:52  2016,426.1519,676.9827,683.788,735.088,712.3053,722.5142,686.9763,657.1896,652.2867,714.6368,683.1077,692.9672,601.2238,652.2423,634.6765,627.2888,668.9841,649.2153
Fri Apr 08 22:31:33  2016,-260.8546,693.2133,690.6016,752.2531,748.5795,771.7056,730.2146,682.7739,676.5485,728.6955,701.1005,722.3683,622.46,676.0699,655.4144,652.3748,687.8456,667.728
Fri Apr 08 22:47:33  2016,873.0154,697.4238,697.2786,746.7156,760.9814,775.2982,722.1779,684.4679,674.9571,728.1107,700.5638,722.8512,621.1233,680.8021,654.5048,649.4924,680.3114,659.9304
Fri Apr 08 23:01:13  2016,29.3076,738.5139,745.8918,758.6248,772.8876,806.4331,725.1998,731.925,706.1014,746.2752,735.7188,748.7715,649.3156,695.4467,680.6572,670.4182,696.8423,685.0916
Fri Apr 08 23:16:12  2016,763.9409,713.9647,724.1773,748.9184,773.9677,800.5195,736.9023,707.1201,694.475,730.0115,717.306,737.4764,634.0571,693.9949,671.2528,660.8851,684.8018,671.3412
Fri Apr 08 23:16:53  2016,29.3076,714.2562,723.155,750.0937,778.9966,803.0511,732.0712,708.8667,694.1847,734.6938,717.7435,739.2347,633.6256,693.2692,670.9637,661.8956,684.8018,671.4858
Fri Apr 08 23:32:52  2016,29.3076,713.7181,709.0571,720.1788,715.803,736.1131,738.5589,702.7562,683.9329,713.3701,679.9216,690.9358,631.4688,690.8025,661.7185,632.7954,664.6501,648.2068
Fri Apr 08 23:48:13  2016,752.0162,699.603,703.5279,733.7705,757.4017,770.0809,726.852,692.8784,676.4039,711.6217,694.709,717.8445,625.1451,683.6989,657.9664,650.2129,672.4534,657.4332
Sat Apr 09 00:02:13  2016,750.6934,696.6976,702.8008,721.3464,751.8121,760.6414,724.3683,689.9767,679.2985,715.4105,690.5006,711.4313,625.8635,685.0029,656.8123,643.0109,663.4948,651.2328
Sat Apr 09 00:17:12  2016,762.0247,719.5508,728.3137,744.514,789.3715,808.7163,736.9473,713.6733,694.9551,733.6691,715.8478,745.3945,638.3725,694.1401,672.6987,666.95,685.5263,672.6425
Sat Apr 09 00:32:13  2016,747.6085,717.0261,729.6296,762.3075,769.0928,787.7393,730.1696,706.3925,693.6041,747.8903,717.306,737.9159,636.0706,688.6269,665.7616,663.0505,691.3264,672.7871
Sat Apr 09 00:48:12  2016,763.2038,707.2656,713.6733,756.813,746.9641,760.3468,740.4191,700.2849,688.2365,739.9675,704.4447,721.0544,629.0251,690.3673,663.3065,649.6365,686.8308,663.1061
Sat Apr 09 01:02:13  2016,745.9935,701.7384,702.1746,772.4443,754.0176,769.3427,728.2687,685.1924,680.8466,753.5764,710.7031,729.0891,622.1286,679.7885,654.649,655.6469,696.362,668.5505
Sat Apr 09 01:16:53  2016,750.3995,686.9317,691.7176,768.1616,778.6552,795.416,733.5346,673.6108,676.0699,754.7531,716.8237,739.7759,618.5386,685.4377,656.8123,662.573,692.5876,670.574
Sat Apr 09 01:31:53  2016,747.2697,695.3461,698.5413,766.4932,777.4259,792.1013,730.3159,682.6848,683.7435,750.1955,714.592,738.1188,623.3771,683.3646,657.7778,661.7068,695.4462,670.385
Sat Apr 09 01:47:53  2016,750.7952,695.7817,697.5244,748.7829,779.4523,800.0846,732.0262,686.5972,682.8297,738.8514,717.4631,740.7119,623.5208,689.7425,664.995,662.6729,684.2334,667.5947
Sat Apr 09 01:48:33  2016,753.4413,694.9105,696.653,750.1051,778.4162,801.2756,736.4178,686.1624,682.1054,739.2911,717.609,741.5916,623.0899,689.7425,664.5618,663.6837,685.2477,669.3288
Sat Apr 09 02:02:33  2016,754.1766,698.3513,703.7293,765.1202,763.7931,785.378,730.8559,688.0469,685.2928,756.5754,714.5472,733.9732,626.1068,690.6128,665.2839,659.5975,692.6436,671.0634
Sat Apr 09 02:16:53  2016,777.1874,719.4611,713.6285,726.3232,750.9417,779.5548,757.4137,705.7657,697.3345,717.0256,708.0936,723.6938,635.0195,703.9755,674.1004,653.9719,672.6093,662.0623
Sat Apr 09 02:31:53  2016,772.604,708.0941,708.3852,722.5256,765.3698,794.3871,752.265,702.1299,689.352,713.0451,708.5303,729.6854,630.562,701.3583,671.0638,658.6873,670.1516,661.3406
Sat Apr 09 02:47:54  2016,28.8101,699.0778,705.0383,737.6907,775.0709,793.5983,746.5355,694.7207,689.6421,727.5937,706.157,731.5419,628.2622,699.7596,669.1848,658.2101,678.6412,665.3391
Sat Apr 09 03:01:54  2016,-328.8139,713.7294,711.981,723.7949,767.5374,794.7872,741.6486,705.2845,697.5803,712.1262,711.6891,734.3224,633.2496,698.1167,673.3328,660.5189,672.5648,662.1623
Sat Apr 09 03:16:33  2016,27.8153,692.2087,701.0229,769.1611,789.1434,810.2778,722.8743,681.2922,679.9891,756.3377,723.3568,749.2802,622.1398,685.304,660.575,669.3288,694.5864,673.8663
Sat Apr 09 03:31:33  2016,27.318,694.6315,703.2036,758.8402,788.2532,812.0694,731.3511,682.4064,683.32,751.4844,726.1323,750.7495,624.2502,689.3187,663.129,669.7624,689.0728,672.7094
Sat Apr 09 03:47:34  2016,27.318,692.5548,700.3968,752.2194,790.9248,810.1285,740.8253,685.4489,689.6533,736.8117,715.1864,746.9304,624.5375,691.0593,664.573,665.8612,687.0428,670.5408
Sat Apr 09 04:01:33  2016,740.0472,694.4416,699.3796,768.0823,786.5757,812.4714,725.2674,679.7552,681.6377,756.9264,725.0646,750.5574,621.3334,680.5795,657.1677,669.6179,693.9611,672.9542
Sat Apr 09 04:16:34  2016,766.0285,698.0274,695.7037,729.1568,736.1808,753.3503,743.5667,685.3599,679.6105,723.2108,693.76,707.2764,622.7255,690.3898,654.9598,639.0473,668.762,651.4437
Sat Apr 09 04:31:34  2016,754.8331,691.0147,693.3364,754.3798,771.4785,783.0181,734.4356,679.2764,675.8031,750.8964,714.1213,733.6919,621.1014,688.3149,658.233,659.7974,689.1732,668.9064
Sat Apr 09 04:31:54  2016,760.1323,693.0461,693.4814,752.3211,767.7872,782.4254,740.7352,680.7243,676.2371,744.8754,712.3727,731.4969,621.2451,689.62,658.5215,659.2202,688.7381,668.4729
Sat Apr 09 04:47:53  2016,778.2462,702.4432,698.3739,733.1064,735.8879,772.0695,760.2343,695.0336,685.895,721.5599,699.7144,714.9958,627.3781,697.1224,664.5398,651.6765,677.5836,661.9736
Sat Apr 09 05:01:54  2016,779.5328,715.9833,704.0428,721.9979,728.8644,746.0044,753.566,702.5439,688.7499,719.9545,692.1636,704.8029,631.1152,703.8079,667.8622,641.7376,672.2312,657.0672
Sat Apr 09 05:16:54  2016,773.7639,701.5262,696.5862,721.4139,716.3079,740.2834,752.6837,697.7481,683.9666,720.5382,689.2624,697.0994,627.5219,701.3362,668.7292,636.9887,673.2434,657.4999
Sat Apr 09 05:31:54  2016,771.502,716.5216,700.3635,720.1004,731.3506,763.9519,753.4189,703.3716,687.3,705.2394,695.7925,711.0618,627.7651,696.9326,664.7842,645.9132,668.762,656.4902
Sat Apr 09 05:47:54  2016,741.9195,698.8657,702.6446,767.6396,801.2871,824.4398,719.8317,682.4734,678.7086,764.8366,734.5702,760.4149,620.8695,683.298,659.01,672.7539,694.9772,676.86
Sat Apr 09 06:01:14  2016,761.5717,719.5399,714.1444,737.6456,792.8098,820.2463,739.7203,707.2548,696.5416,732.3748,725.2106,753.0562,633.0397,697.9047,674.1342,668.9953,678.1179,668.284
Sat Apr 09 06:01:54  2016,761.277,718.3727,714.5816,739.9903,808.5903,829.0884,740.1601,706.9637,695.9607,736.1808,727.4025,759.5312,632.7521,697.6142,673.5557,672.3201,679.5655,669.4401
Sat Apr 09 06:16:55  2016,746.5698,708.7103,711.7684,777.3918,817.6567,833.9973,725.9194,696.7874,689.2408,761.1516,732.3748,765.4266,628.7269,687.6012,665.1731,679.2647,702.1967,680.2894
Sat Apr 09 06:32:54  2016,741.5812,709.8751,706.9637,778.5302,811.0817,833.2461,722.8521,694.7546,688.5157,767.0493,739.7986,768.1846,626.715,684.1227,662.4296,682.0159,705.2507,684.0552
Sat Apr 09 06:48:34  2016,746.2761,721.3922,729.8662,785.1957,806.1582,826.6422,731.0363,716.5778,704.345,779.2702,729.6968,765.3813,642.3917,690.3565,674.8574,679.2647,713.5496,685.6492
Sat Apr 09 07:02:34  2016,23.8382,712.7881,713.5167,801.837,764.9388,780.0104,710.7488,703.2822,690.256,797.2234,719.9096,735.9894,628.1078,675.3915,659.0656,660.1415,718.5068,678.8417
Sat Apr 09 07:17:34  2016,1185.4667,698.9663,701.1462,807.7986,770.1039,781.0469,707.8369,681.5154,681.2703,799.0086,724.2893,741.2646,621.2121,666.4287,648.6842,664.3281,723.4693,680.4342
Sat Apr 09 07:32:35  2016,720.6176,698.3852,703.4724,801.9858,765.2338,779.7144,701.2915,682.3843,680.8358,791.8729,721.2231,739.7986,621.9302,666.1398,649.2606,662.8842,720.4036,678.8417
Sat Apr 09 07:48:34  2016,739.7769,725.5823,716.8246,830.647,785.8915,799.1117,727.9205,702.2644,696.3071,808.6936,738.8742,758.4099,635.5842,686.1071,668.5959,677.628,740.9828,694.8879
Sat Apr 09 08:01:55  2016,23.8382,722.3692,744.7633,788.8582,816.863,849.3109,753.8715,728.3591,725.8746,759.2935,803.1317,795.6907,654.4497,705.4192,697.1338,711.9918,721.2344,717.8785
Sat Apr 09 08:16:55  2016,23.3412,744.91,765.8018,770.2061,817.9099,846.1431,743.4428,746.0391,742.2693,747.8228,796.5828,788.1162,662.1964,703.6291,700.8668,707.769,700.553,708.9897
Sat Apr 09 08:17:35  2016,221.9609,746.231,764.4744,770.2061,809.0954,841.1708,741.0962,745.8923,738.6044,748.2634,790.3424,784.7053,660.6086,703.4836,702.175,705.2953,700.4077,708.553
Sat Apr 09 08:32:34  2016,-4.2086,745.3503,769.3436,768.7297,791.0848,822.9993,733.7715,743.3976,740.9496,744.0063,774.9346,774.9346,662.5295,692.6333,697.86,695.1224,693.5815,697.9376
Sat Apr 09 08:48:35  2016,227.8459,744.0296,772.0021,780.8533,827.1959,847.0479,743.8829,743.8829,746.8182,757.3794,792.2729,794.3529,667.0065,696.5529,701.3475,707.9146,708.1163,710.3001
Sat Apr 09 09:02:15  2016,754.754,801.517,811.2087,779.0767,786.4846,831.2475,737.7253,791.1084,778.2122,765.926,815.2184,787.6711,692.1979,700.1848,718.8218,717.239,712.3392,718.462
Sat Apr 09 09:16:55  2016,23.8382,848.4295,865.8236,785.4466,842.225,885.567,728.7977,841.6465,813.2996,795.3934,868.5299,833.3502,722.7623,700.1848,726.4141,764.746,715.9828,730.1469
Sat Apr 09 09:31:54  2016,264.839,859.4609,878.7359,817.6108,767.6965,815.069,756.3724,838.4856,836.0792,824.4975,804.1747,773.3085,741.6376,739.5852,767.2318,708.6425,742.8892,743.9161
Sat Apr 09 09:47:55  2016,23.8382,882.238,904.8568,844.0328,753.9952,809.8416,751.813,855.8303,842.7008,842.0744,803.5786,772.8651,755.8857,734.312,768.2649,709.2247,770.263,771.5923
Sat Apr 09 10:02:15  2016,23.8382,783.395,833.6745,797.1777,709.2247,769.9108,798.2426,775.4016,777.6203,789.2006,751.4957,713.303,690.8922,738.4128,728.0218,666.0612,730.7319,713.6506
Sat Apr 09 10:17:15  2016,23.8382,725.5823,791.451,798.9629,750.7609,827.1959,799.7306,738.3113,756.814,789.9427,790.0456,764.1562,675.6809,750.7391,733.1411,701.1231,737.7585,729.4156
Sat Apr 09 10:32:15  2016,23.8382,817.0822,864.2026,803.8766,835.6044,891.6716,786.2571,807.6273,813.1962,795.4391,851.5754,821.8011,728.3591,751.96,748.8742,745.2253,745.3835,754.6403
Sat Apr 09 10:48:15  2016,24.7859,870.7258,919.6525,870.655,857.1674,906.9795,772.7862,861.7786,850.7398,870.3979,889.2285,857.0161,765.3593,755.3425,793.4849,787.7168,777.3579,785.2072
Sat Apr 09 11:02:15  2016,48.8836,802.4564,855.5743,852.1795,775.2303,840.7192,797.2471,787.7404,815.2881,839.1099,810.2893,775.6739,720.4716,761.2316,785.7667,719.6178,766.5728,761.8544
Sat Apr 09 11:16:55  2016,25.6877,745.4405,799.2268,856.1087,767.1063,822.1006,817.876,739.0891,777.8593,842.5262,804.6217,765.926,680.7913,780.5806,779.8403,709.8071,762.7388,755.9644
Sat Apr 09 11:31:55  2016,24.8321,731.2275,777.4154,834.8528,707.6235,762.3872,794.1707,729.18,733.276,818.3587,729.3593,699.6251,658.4329,751.2703,731.0363,657.0672,748.1731,719.4833
Sat Apr 09 11:47:55  2016,35.3627,712.5415,744.2665,813.5746,715.3435,753.113,767.0728,709.9198,708.0272,785.4922,719.5729,708.788,636.5358,720.8084,701.7276,648.894,725.7615,700.989
Sat Apr 09 12:01:55  2016,24.8321,700.3187,720.8533,739.4604,746.0609,781.1495,694.3636,668.1512,664.1066,715.9714,689.8984,705.4409,613.9788,667.0954,660.8861,637.3761,676.526,669.7291
Sat Apr 09 12:16:56  2016,24.8321,707.6353,718.4176,830.4969,804.6217,825.5467,736.3956,674.8016,680.6353,804.5185,761.6504,765.4834,624.2172,673.9338,661.7522,687.0428,720.5496,704.8142
Sat Apr 09 12:31:56  2016,25.3292,707.1987,715.9384,769.3657,777.7903,793.9528,726.5938,671.9537,679.0427,739.3589,734.818,747.5742,618.9034,665.1175,655.7365,664.4725,681.0134,673.0543
Sat Apr 09 12:47:55  2016,35.5596,737.8604,744.7519,765.5287,769.9108,813.2758,788.425,717.6883,703.1255,749.4837,768.6275,752.57,638.738,715.4562,688.2703,681.1024,687.3886,689.9988
Sat Apr 09 13:01:56  2016,30.141,704.3337,717.4415,785.7431,768.8773,801.4933,735.4155,675.5695,677.7844,755.5115,740.1933,750.614,618.2296,679.0427,662.8514,668.8063,698.9991,689.1286
Sat Apr 09 13:16:16  2016,25.8263,704.3337,718.9001,777.7449,775.3781,795.542,734.6834,682.7073,680.3901,746.2528,741.9527,751.4957,621.2451,680.2008,669.9299,670.8299,694.7428,689.3741
Sat Apr 09 13:16:35  2016,25.8263,702.2979,717.879,777.153,776.5613,797.3264,738.052,680.3901,678.9424,745.9592,745.1802,751.7897,620.527,681.5041,670.0743,671.9865,694.3073,689.084
Sat Apr 09 13:32:56  2016,758.5123,770.6042,817.2661,816.863,780.1129,839.3646,820.2584,767.7991,792.8218,822.4462,809.9908,783.2233,693.7271,758.7615,750.8181,714.8052,727.6613,732.3412
Sat Apr 09 13:48:36  2016,2006.4807,748.0718,796.5376,841.6226,711.2634,758.8516,796.3889,744.9889,744.1085,817.6108,721.0323,692.2195,660.0089,752.582,723.7169,645.6806,735.8543,711.4653
Sat Apr 09 14:02:36  2016,26.8207,730.3835,761.9456,794.0557,698.7532,742.686,767.9921,725.5596,725.5596,780.1129,720.1566,680.0443,648.2296,720.1122,702.1971,640.3536,707.0975,684.0107
Sat Apr 09 14:17:35  2016,771.8314,728.1902,754.2899,777.3009,687.1432,723.8063,725.8519,716.9478,702.8234,762.9768,680.1891,668.3284,639.3025,689.8542,676.0925,620.2281,690.0992,662.6066
Sat Apr 09 14:32:36  2016,750.8066,716.701,749.4841,802.0432,786.8839,827.7498,742.8783,710.1436,728.9661,806.2614,773.2631,770.0131,653.895,696.2845,683.5208,692.8,731.5646,716.3754
Sat Apr 09 14:48:36  2016,177.6971,738.4801,753.3057,757.2889,784.4659,829.0539,799.4556,728.6736,714.0769,730.4843,781.7989,767.6058,646.9774,735.652,707.1874,695.223,692.2308,699.7817
Sat Apr 09 15:02:36  2016,812.1274,751.8806,800.3943,838.2188,811.9891,872.0803,813.8164,749.4841,774.4346,841.3795,837.4666,808.8544,682.8409,767.7423,760.2229,741.4227,739.2802,741.4791
Sat Apr 09 15:17:37  2016,27.8153,756.293,804.1177,849.218,808.2576,825.6044,818.9,756.8817,766.1647,845.1459,813.6322,759.4974,675.3134,769.6614,765.9718,714.6708,742.6523,730.3494
Sat Apr 09 15:32:36  2016,27.8153,770.0021,820.5462,823.0109,765.3474,791.6903,816.5068,767.9354,777.3924,801.6996,772.4333,747.6873,684.7244,772.1722,768.9232,686.7642,734.0073,727.4252
Sat Apr 09 15:48:36  2016,27.8153,772.3655,797.4183,862.78,807.9135,821.0641,782.7222,788.0596,776.5048,854.9575,807.6151,785.6064,691.1039,762.1382,779.2708,727.5151,760.1433,758.5233
Sat Apr 09 16:02:16  2016,-42.3091,804.9087,837.3976,838.3229,745.632,778.2002,798.5054,795.1879,798.6542,826.8038,760.7778,741.231,708.2509,742.8783,757.4251,680.9689,757.3456,752.197
Sat Apr 09 16:16:56  2016,27.8153,807.7416,831.6868,852.0401,776.4249,796.5943,790.4799,796.9722,796.2744,852.3887,775.6854,789.1664,705.0496,761.4014,773.9456,706.8064,754.2104,757.8892
Sat Apr 09 16:31:57  2016,849.2996,811.7712,846.2827,850.2281,801.9517,823.7599,818.0483,802.9717,822.8383,817.2196,798.9744,789.3149,722.7283,770.4451,773.3998,717.0035,760.8345,762.8976
Sat Apr 09 16:47:56  2016,30.569,749.5745,806.9958,819.0724,749.6985,796.6974,804.6106,738.5703,769.7521,815.0806,753.0791,725.9639,682.7406,745.7113,748.7948,674.9903,744.3226,739.7763
Sat Apr 09 17:01:36  2016,28.3127,709.2139,754.5727,788.0366,722.7056,780.0334,792.7075,704.1208,715.0411,762.6481,728.9883,703.181,645.9136,744.2438,733.1069,656.3129,732.8479,721.448
Sat Apr 09 17:16:36  2016,28.3127,730.2259,789.1439,805.7341,705.0717,752.0048,796.8691,741.7952,762.0815,805.9291,732.4988,706.3812,675.6472,726.9645,708.4413,658.1882,729.4834,710.3676
Sat Apr 09 17:31:36  2016,1374.8145,701.3583,736.3728,777.176,672.1535,706.3812,752.0728,710.67,695.9828,768.6504,671.8199,663.8729,638.4279,708.0046,691.1485,619.1459,704.2551,680.4567
Sat Apr 09 17:47:36  2016,38.8501,789.2924,826.585,750.5916,776.5388,816.8403,795.3823,775.2193,786.7701,744.8644,773.4338,763.6914,696.6642,731.79,729.0111,694.3745,701.9845,713.9199
Sat Apr 09 18:01:37  2016,29.5159,713.1465,751.971,751.971,695.0111,749.3258,760.9027,728.6174,702.9575,763.2038,704.6019,691.8181,641.4501,700.5869,684.0444,638.9924,687.5228,671.4531
Sat Apr 09 18:16:37  2016,29.5159,799.3983,851.7151,806.7435,786.0743,825.7315,791.2222,797.9103,801.7801,825.7776,788.1508,779.5552,711.6448,734.717,736.6207,707.4111,734.8635,737.2066
Sat Apr 09 18:31:37  2016,43.2211,804.4616,854.2834,834.0323,793.1988,833.6856,795.6796,809.0843,809.8304,849.8453,812.6097,800.6805,721.2684,742.9234,752.0276,724.9077,748.9869,755.4553
Sat Apr 09 18:47:37  2016,29.9672,804.9087,868.3669,823.9791,808.8777,861.7899,822.8383,814.7589,833.1887,819.6366,822.7806,805.1494,730.7659,755.5573,754.2333,731.6323,746.784,753.6902
Sat Apr 09 19:01:37  2016,38.3517,803.4186,865.6365,824.4747,814.1497,863.0483,819.8439,819.1992,823.7371,828.2231,824.6246,806.3879,729.551,750.0718,756.3949,739.5847,751.236,754.3237
Sat Apr 09 19:16:17  2016,646.0577,783.9532,853.5278,827.3693,835.1768,875.693,819.7978,816.6564,822.6425,833.3735,847.0714,820.6267,730.2822,762.433,763.4648,754.7536,754.1199,761.1859
Sat Apr 09 19:31:17  2016,27.8153,796.2744,862.151,837.9296,792.6387,819.3257,851.6687,805.0118,825.4894,829.4118,790.5597,799.0317,726.7734,789.4979,787.124,717.3513,771.2629,785.618
Sat Apr 09 19:47:18  2016,27.8153,742.9685,824.1866,791.0508,755.1382,808.166,850.7627,758.0593,813.2188,792.2844,776.6752,755.5796,708.3965,764.3494,749.778,693.1015,732.6452,736.598
Sat Apr 09 20:01:17  2016,38.3517,721.4593,776.5504,811.4493,683.7767,729.1795,779.9084,738.8182,740.1373,801.9517,712.104,687.9799,667.7953,727.7966,714.0769,646.9881,730.1582,709.5833
Sat Apr 09 20:16:17  2016,27.8153,724.2335,773.7409,794.3644,673.9778,713.7515,754.9688,753.3509,738.5252,800.2108,698.0382,680.6348,663.029,701.8503,699.8156,636.4799,717.9347,699.4464
Sat Apr 09 20:32:17  2016,27.8153,795.085,828.0848,761.8091,724.9861,774.2068,748.3994,784.204,754.4257,770.4106,724.5479,728.9321,688.3481,708.5421,704.6132,666.0724,705.6984,694.218
Sat Apr 09 20:32:37  2016,-326.0394,787.8085,820.5922,764.0201,719.7302,768.0031,751.3379,779.6122,749.8683,777.062,721.7734,725.7166,686.0286,707.9598,703.4497,664.0505,706.8624,694.9438
Sat Apr 09 20:48:37  2016,29.0184,680.7576,688.0024,767.4581,686.0395,707.3885,733.1519,664.9506,655.3257,761.4124,673.5884,681.9827,611.9474,674.3007,652.2092,625.8854,688.7048,669.4513
Sat Apr 09 21:02:37  2016,27.8153,686.9875,688.8278,753.9048,715.837,732.1948,728.2801,679.41,660.908,729.6068,678.2182,696.0496,618.8369,675.458,655.5255,639.0142,688.6044,670.7967
Sat Apr 09 21:17:38  2016,725.2111,677.9625,674.3452,757.8777,756.9945,765.9827,716.0167,665.9617,655.2814,758.9536,687.779,715.1081,608.7912,653.2183,632.1989,649.67,680.9244,658.954
Sat Apr 09 21:32:37  2016,27.318,678.2519,675.7919,794.9017,739.1223,748.6588,709.3148,659.8534,653.6952,784.5115,687.3886,713.8411,611.186,653.895,635.1746,651.1111,714.1887,670.9412
Sat Apr 09 21:48:38  2016,27.318,670.8748,670.5856,780.8077,745.5754,757.923,705.777,659.1318,652.6417,778.4392,682.8962,711.947,609.6078,658.3661,639.0589,647.6528,703.5613,667.4727
Sat Apr 09 22:02:38  2016,27.318,685.1591,685.8837,794.7531,732.6788,745.2819,683.7101,678.3522,666.784,807.9019,695.3681,717.1941,620.0851,654.6159,646.2572,652.3086,721.0885,681.1137
Sat Apr 09 22:17:38  2016,26.8207,696.1839,704.7587,789.155,728.4821,746.2077,712.4741,689.8989,672.8545,788.1162,695.558,713.8859,626.0737,663.229,652.553,650.7231,725.4693,685.1699
Sat Apr 09 22:31:57  2016,1282.7889,681.3925,678.0182,769.3202,739.0208,749.4385,700.0615,664.1398,655.7696,771.24,683.81,708.3513,609.1334,654.5715,632.2542,642.2249,691.4048,657.1228
Sat Apr 09 22:47:58  2016,26.8207,683.9554,684.6798,792.7185,745.7673,762.2399,713.1578,675.4136,667.462,790.9363,698.3174,721.9081,623.7751,666.5507,655.8694,658.6542,723.5704,686.6193
Sat Apr 09 23:01:58  2016,2002.0614,682.217,681.0584,811.9316,750.0262,763.8613,699.9162,668.0399,662.2628,807.6495,708.3513,729.5056,618.8923,659.7646,645.4928,661.7292,734.5366,686.4743
Sat Apr 09 23:16:58  2016,64.0219,672.6655,670.9305,779.8168,741.9527,751.4957,706.8964,661.2079,655.3369,773.2062,686.4185,713.303,612.2456,655.104,638.3949,649.7586,705.3514,668.2396
Sat Apr 09 23:31:57  2016,26.3235,675.7029,671.1752,797.9214,748.4102,760.1771,697.8375,660.7749,656.3022,785.4922,696.8649,721.0323,612.3891,650.9232,636.3807,654.6597,716.3192,672.0421
Sat Apr 09 23:32:18  2016,1238.275,674.9351,671.1752,796.4341,744.4465,757.2322,700.4528,661.3523,656.3022,781.4911,695.8483,719.427,612.5326,651.2114,636.8123,653.9388,715.736,671.7529
Sat Apr 09 23:48:18  2016,2006.4807,671.4643,670.4523,795.8394,753.8482,766.9586,696.5303,656.1579,654.7158,790.982,696.8649,722.7841,609.6631,650.2026,635.5176,655.3808,715.5454,671.8531
Sun Apr 10 00:01:38  2016,26.3235,675.2244,672.0426,793.7585,743.8596,755.172,700.8889,661.6409,656.5906,785.0474,694.2514,721.0323,611.3847,653.5179,637.3877,652.3529,714.2336,669.9738
Sun Apr 10 00:02:18  2016,30.384,675.6584,672.621,794.9474,744.5933,755.172,702.6333,661.3523,657.1677,787.5685,693.9611,719.8647,611.2412,653.2296,636.8123,651.7763,714.525,669.8293
Sun Apr 10 00:17:18  2016,26.3235,677.3948,676.5266,791.6788,756.5416,767.5943,693.7718,661.4966,657.3118,788.4586,697.3006,725.8513,609.1886,648.1411,631.7787,653.3621,711.0731,669.1511
Sun Apr 10 00:32:18  2016,708.4078,673.6333,672.7656,791.279,745.9592,763.4644,707.8704,661.0192,655.8694,781.0469,698.2169,721.8069,609.9059,650.0142,636.1926,654.9482,714.7156,673.0543
Sun Apr 10 00:47:39  2016,-335.0797,683.0416,681.0139,794.25,754.4818,770.2515,708.4078,667.8066,661.4522,791.1304,703.5947,729.2581,616.9376,655.4923,639.7896,661.1519,718.2151,678.6969
Sun Apr 10 01:01:38  2016,758.0254,680.8245,679.9557,795.7365,758.7497,767.004,698.6644,663.1846,660.8749,792.6156,702.5768,729.4043,617.2247,652.4644,636.9119,662.5954,720.2576,678.8417
